Term,Category,Definition,Formula_or_Notes
Timeout,Mechanics,Maximum time allowed for bids,
Top of Page Bid,Metric,Estimated bid for top placement,
Top of Page Rate,Metric,Ads shown above organic results,
Tracking Template,Tracking,URL template for parameters,
Trafficking,Operations,Setting up ads and tags in platforms,
Transparency,Governance,Clear disclosure of supply and costs,
tROAS,Bidding,Target return on ad spend strategy,
TRP,Metric,Target Rating Points,GRPs within target audience
TV Attribution,Measurement,Linking exposure to outcomes,
TV Campaign,Structure,Top-level TV buying container,
TV Lift Study,Measurement,Incremental impact measurement,
TV Planning Model,Planning,Forecast reach and frequency outcomes,
TV Schedule,Structure,Planned placements across programs,
TV Weight,Planning,GRP intensity per period,
Under-delivery,Delivery,Delivered volume below booked amount,
Unduplicated Reach,Metric,Reach excluding overlap,
Unique CTR,Metric,CTR based on unique users,
Unique Reach,Delivery,Deduplicated reach,
Universe,Measurement,Total measurable population,
Upper Funnel,Strategy,Awareness-focused activity,
UTM,Tracking,URL parameters used for attribution,
UTM Campaign,Tracking,Campaign name identifier,
UTM Content,Tracking,Creative identifier,
UTM Medium,Tracking,Channel type identifier,
UTM Source,Tracking,Traffic source identifier,
UTM Term,Tracking,Keyword identifier,
Value,Metric,Revenue attributed to conversions,
Value Optimisation,Bidding,Optimise for conversion value,
ValueTrack Parameter,Tracking,Dynamic URL parameter,
vCPM,Metric,Viewable CPM,Cost / Viewable Impressions * 1000
VCPM,Metric,,"Cost / Viewable Impressions * 1000,"
Verification,Governance,Independent measurement of delivery,
Video,Format,In-stream or out-stream video,
Video Completion,Metric,Video played to end,
Video Completion Rate,Metric,Completed views divided by starts,
Video View,Metric,Recorded video play,
View Attribution,Tracking,Conversions credited after view,
View Content,Metric,Product or page view event,
View Through Conversion,Tracking,Conversion after impression without click,
Viewability,Delivery,Percentage of viewable impressions,
Viewable Impression,Delivery,Impression meeting viewability rules,
Virtual Australia,Measurement,Alias of VOZ,
Visual,Creative,Image or video content,
VOZ,Measurement,Total TV measurement framework Australia,
VTR,Metric,,"Completed Views / Impressions * 100,"
Waterfall,Mechanics,Sequential auction structure,
Web Lift,Measurement,Increase in site visits after TV exposure,
Webhook,Tech,Event-based data push,
Whitelisting,Governance,Approved inventory list,
Win Rate,Supply,Percentage of auctions won,Wins / Bids * 100
WIN RATE,Metric,,"Wins / Bids * 100,"
WIP,Operations,Work In Progress status meeting,
Yield,Supply,Revenue generated per impression,
Yield Optimisation,Supply,Improving revenue outcomes,
YouTube,Channel,Video platform bought via Google Ads,
