id,best_practice
25,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Search, Social Media."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Search"", ""items"": [""Harvests existing high-intent demand rather than creating awareness; always run a brand campaign to defend the SERP, and keep brand and non-brand in separate campaigns so blended CPA/ROAS never flatters non-brand."", ""Use Responsive Search Ads (12-15 headlines, 4 descriptions, minimal pinning) with all extensions populated, and maintain a rigorous negative-keyword list reviewed weekly."", ""Match bid strategy to goal (tCPA lead-gen, tROAS ecommerce), give Smart Bidding ~30+ conversions/30 days before tightening targets, and judge on CPA/conversions or ROAS/revenue - CTR and CPC are diagnostics only.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}]}"
26,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Video, Social Media, Content Integration & Sponsorship."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Newspaper, Magazines."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Content Integration & Sponsorship"", ""items"": [""Embeds the brand naturally within trusted editorial, entertainment or talent-led content; a considered, longer-lead investment for credibility and engagement, not an always-on performance lever."", ""Select the partner/talent for editorial and audience alignment, co-develop creative in the publisher's voice with clear guardrails, and negotiate repurposing rights up front to extend value."", ""Bought on fixed-cost/bespoke packages with no standard in-flight KPI; measure on reach, engagement and brand lift, and ensure sponsored content is clearly disclosed to meet ACMA and AANA rules.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""News Corp Australia trades direct across mastheads (news.com.au, The Australian, Herald Sun, Daily Telegraph, Courier-Mail), magazines and Foxtel-linked inventory."", ""News Connect is its first-party data and audience platform, and Intent Connect targets users by real purchase-intent signals - use these for addressable audience targeting across its network."", ""Premium, brand-safe editorial context at national scale; strong for reach plus contextual alignment against trusted news environments."", ""Ensure any sponsored/branded content integration is clearly disclosed to meet ACMA and AANA standards.""]}]}"
27,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""No digital channels enabled for this record."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Newspaper, Magazines."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}]}"
28,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Video."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}]}"
29,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Video, BVOD (Broadcaster Video On Demand), Social Media, Content Integration & Sponsorship."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Television."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""BVOD (Broadcaster Video On Demand)"", ""items"": [""Premium, brand-safe, full-screen non-skippable TV-quality reach in a lean-back environment (AU players: 7plus, 9Now, 10 Play, SBS On Demand); an upper-funnel channel, not click-driven."", ""Use broadcaster first-party login data for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV delivery where co-viewing and impact are highest."", ""Traded on CPCV (guaranteed completed views); the biggest risk is over-delivery, so enforce cross-device, cross-broadcaster frequency capping at plan level rather than trusting each publisher's siloed cap.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Content Integration & Sponsorship"", ""items"": [""Embeds the brand naturally within trusted editorial, entertainment or talent-led content; a considered, longer-lead investment for credibility and engagement, not an always-on performance lever."", ""Select the partner/talent for editorial and audience alignment, co-develop creative in the publisher's voice with clear guardrails, and negotiate repurposing rights up front to extend value."", ""Bought on fixed-cost/bespoke packages with no standard in-flight KPI; measure on reach, engagement and brand lift, and ensure sponsored content is clearly disclosed to meet ACMA and AANA rules.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Seven trades direct across TV and digital; 7plus is its BVOD platform (full-screen, non-skippable, CPCV) and a strong vehicle for AFL and cricket audiences."", ""Phoenix is Seven's programmatic/data trading platform - use it to activate first-party and enriched audiences across 7plus and Seven digital inventory."", ""AFL and cricket rights deliver premium, high-reach live-sport audiences; plan tentpole sport for mass reach and co-viewing."", ""Enforce cross-broadcaster BVOD frequency capping across 7plus, 9Now and 10 Play rather than relying on each publisher's siloed cap.""]}]}"
30,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Programmatic OOH (DOOH)."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Out-of-Home (OOH)."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Programmatic OOH (DOOH)"", ""items"": [""Flexible, data-triggered DOOH across roadside, retail, transit and place-based screens (oOh!media, JCDecaux, QMS inventory) bought via a DSP/SSP; enables dayparting, triggers and dynamic creative that classic OOH lacks."", ""Plan and value audiences against MOVE 2.0 (Visibility Adjusted Contacts), build creative to each screen's native resolution/aspect ratio as glance media, and use triggers (weather, location, live data) via DCO."", ""Buy on MOVE-derived impressions, not screen plays (apply the impression multiplier); target attention/dwell (>~2.5s) and measure exposure/footfall and brand lift, not clicks.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""QMS is a premium digital roadside and airport DOOH operator; strongest for high-impact, large-format broadcast reach in metro markets."", ""Plan and value on MOVE 2.0 impressions (not screen plays) and buy programmatically via PMP/PG for dayparting and dynamic creative."", ""Build glance-media creative to each screen's native spec; DOOH is a high-attention, exposure-measured channel, not a click channel.""]}]}"
31,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Video, BVOD (Broadcaster Video On Demand)."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Television."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""BVOD (Broadcaster Video On Demand)"", ""items"": [""Premium, brand-safe, full-screen non-skippable TV-quality reach in a lean-back environment (AU players: 7plus, 9Now, 10 Play, SBS On Demand); an upper-funnel channel, not click-driven."", ""Use broadcaster first-party login data for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV delivery where co-viewing and impact are highest."", ""Traded on CPCV (guaranteed completed views); the biggest risk is over-delivery, so enforce cross-device, cross-broadcaster frequency capping at plan level rather than trusting each publisher's siloed cap.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Foxtel Media sells across Foxtel linear, Kayo (sport), Binge (entertainment) and Hubbl; its BVOD/streaming inventory is premium, full-screen and addressable."", ""Use Foxtel's addressable TV capability and first-party subscriber data for household-level targeting that linear TV cannot match."", ""Kayo delivers premium live-sport audiences and Binge delivers engaged SVOD entertainment viewers - align environment to the brand."", ""Traded largely on CPCV/CPM for streaming; enforce frequency caps across Foxtel's environments.""]}]}"
32,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""No digital channels enabled for this record."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Out-of-Home (OOH)."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}]}"
33,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Video, Content Integration & Sponsorship."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""Content Integration & Sponsorship"", ""items"": [""Embeds the brand naturally within trusted editorial, entertainment or talent-led content; a considered, longer-lead investment for credibility and engagement, not an always-on performance lever."", ""Select the partner/talent for editorial and audience alignment, co-develop creative in the publisher's voice with clear guardrails, and negotiate repurposing rights up front to extend value."", ""Bought on fixed-cost/bespoke packages with no standard in-flight KPI; measure on reach, engagement and brand lift, and ensure sponsored content is clearly disclosed to meet ACMA and AANA rules.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Broadsheet is a premium urban lifestyle/food-and-culture publisher with an engaged, affluent metro audience."", ""Strongest for hospitality, food & beverage, travel, retail and lifestyle brands via content integration in its trusted editorial voice."", ""Co-develop branded content in Broadsheet's style and disclose sponsorship clearly to meet ACMA/AANA rules.""]}]}"
34,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Audio, Programmatic Audio."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Programmatic Audio"", ""items"": [""Digital audio bought at scale programmatically across streaming, radio streaming and podcast SSPs from one DSP, with centralised frequency management; still an upper-funnel channel."", ""Target by demo/genre/mood/daypart and first-party segments, attach companion banners with a verbal CTA, and separate scalable dynamically-inserted streaming spots from premium host-reads (direct/PMP)."", ""Streaming/podcasts typically trade on CPM while some partners (Spotify) bill CPCL - normalise before comparing; triangulate the immature AU audio measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Spotify's AU inventory is sold via SXM Media; note audio is billed on CPCL (cost-per-completed-listen), so you pay for fully heard spots, not served impressions - normalise before comparing to CPM partners."", ""Spans streaming music and podcasts; use demo, playlist/genre, mood/activity and first-party targeting, and always attach a clickable companion banner."", ""Meet Spotify's audio spec (-14 LUFS loudness, defined formats/durations) to avoid rejection, and include a clear verbal CTA and sonic branding.""]}]}"
35,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""No digital channels enabled for this record."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Out-of-Home (OOH)."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""JCDecaux is a major AU OOH operator strong in street furniture, roadside and airport (including Sydney/Melbourne airport) inventory."", ""Plan and value on MOVE 2.0 impressions; its digital screens support programmatic DOOH with dayparting and dynamic creative."", ""Build glance-media creative to each screen's native spec; a high-attention, exposure-measured broadcast reach channel.""]}]}"
36,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Audio, Programmatic Video, Programmatic Audio."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Programmatic Video"", ""items"": [""Scaled, automated video across web, in-app and CTV with centralised audience targeting and cross-publisher frequency control; deploy for awareness/consideration where viewable completed views are the goal."", ""Match format to goal (6s bumpers, skippable, 15s non-skippable), front-load brand in the first 5 seconds, and supply vertical/square cuts with correct VAST specs per exchange."", ""Buy skippable on CPV/CPCV and bumpers on CPM, optimise to viewable completion rather than cheap CPM, and watch for auto-play/muted or fraudulent completions inflating VCR on cheap supply.""]}, {""heading"": ""Programmatic Audio"", ""items"": [""Digital audio bought at scale programmatically across streaming, radio streaming and podcast SSPs from one DSP, with centralised frequency management; still an upper-funnel channel."", ""Target by demo/genre/mood/daypart and first-party segments, attach companion banners with a verbal CTA, and separate scalable dynamically-inserted streaming spots from premium host-reads (direct/PMP)."", ""Streaming/podcasts typically trade on CPM while some partners (Spotify) bill CPCL - normalise before comparing; triangulate the immature AU audio measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""LiSTNR is Southern Cross Austereo's audio platform (radio streaming, podcasts, digital audio) built on first-party registered-listener data."", ""Use LiSTNR audience segments for targeted digital and programmatic audio rather than broad simulcast; pair with companion banners and a verbal CTA."", ""Strong AU podcast and music-streaming reach; frequency-manage across audio SSPs in the DSP.""]}]}"
37,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Social Media."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""LinkedIn is the core B2B platform; target by job title, seniority, function, company size, industry or company lists (ABM), keeping audiences above ~50k to avoid thin delivery."", ""Lead Gen Forms with pre-filled profile data drive strong B2B lead volume and lower friction than off-platform landing pages."", ""Expect materially higher CPMs than other social - reserve for genuine B2B/professional targeting where the premium is justified, and layer exclusions for existing customers.""]}]}"
38,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Audio, Social Media, Programmatic Display, Content Integration & Sponsorship."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Content Integration & Sponsorship"", ""items"": [""Embeds the brand naturally within trusted editorial, entertainment or talent-led content; a considered, longer-lead investment for credibility and engagement, not an always-on performance lever."", ""Select the partner/talent for editorial and audience alignment, co-develop creative in the publisher's voice with clear guardrails, and negotiate repurposing rights up front to extend value."", ""Bought on fixed-cost/bespoke packages with no standard in-flight KPI; measure on reach, engagement and brand lift, and ensure sponsored content is clearly disclosed to meet ACMA and AANA rules.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Niche B2B legal-industry publisher; its value is a highly targeted professional legal audience across display, audio, social and content integration."", ""Best for endemic legal, professional-services, recruitment and B2B software brands; expect small but qualified reach."", ""Content integration/sponsorship in its editorial voice carries credibility - disclose sponsorship clearly.""]}]}"
